symbol,start_price,end_price,total_return,max_return,drawdown,volatility,volume_trend,sharpe,max_consecutive_up,days
688195.SH,41.71,338.93,712.5869096140015,712.5869096140015,0.0,101.59502307660853,0.9894034251809243,3.4024860614205132,9,180
688205.SH,58.9,247.21,319.71137521222414,319.71137521222414,0.0,106.84649312032712,1.0529935628561677,2.4118053769314374,8,180
300308.SZ,144.88,606.52,318.63611264494756,347.95692987299833,6.5454545454545485,75.95031363515578,0.8982907920657316,3.032655547386449,6,180
300394.SZ,82.33,333.86,305.51439329527517,347.8318960281793,9.449416870084072,91.72428935780374,0.8570751877166038,2.5994807091718277,8,180
300502.SZ,134.98,455.3,237.30923099718484,253.42272929322868,4.5592705167173255,78.85919050981613,0.9633457040602762,2.561818564514874,12,180
688307.SH,29.25,86.99,197.40170940170938,197.40170940170938,0.0,69.21353571256729,1.7161956857029868,2.5576493058414296,6,180
002812.SZ,28.12,66.23,135.52631578947367,163.86913229018492,10.741239892183287,56.44672349401544,1.057547824334686,2.4202760309812272,8,180
002281.SZ,47.23,90.39,91.38259580774933,109.23142070717763,8.530661809350327,59.43395072959083,1.3325184491541249,1.8338354190323904,5,180
688256.SH,542.77,1025.7,88.97507231423994,192.55669989129836,35.40565901090112,70.87984882250731,0.8763889925276032,1.6068401605993508,6,180
300274.SZ,73.77,123.32,67.16822556594822,178.43296733089332,39.96105160662123,63.63093570912667,1.320304014067189,1.4474294171018762,6,180
688012.SH,180.81,293.5,62.32509263868149,109.6123002046347,22.559366754617415,52.95268162558544,0.6579016589884354,1.5491891200408097,8,180
688041.SH,136.9,213.77,56.15047479912345,110.73776479181883,25.902946273830153,64.46799554848394,0.7193313286012165,1.2817207281889307,5,180
688008.SH,82.9,127.26,53.51025331724969,119.57780458383593,30.08844695929242,55.28434018694238,0.7341304888903227,1.364551878223014,7,180
688120.SH,112.36,170.47,51.717693129227484,76.68209327162693,14.129558734636314,44.37070679121227,0.7827780860348803,1.5432821460427713,10,180
300750.SZ,263.31,386.46,46.76996695909763,58.05704302912916,7.141140852515745,37.83501845830277,1.0697025166486436,1.614489685375962,5,180
002475.SZ,35.36,48.8,38.00904977375565,98.5294117647059,30.484330484330492,46.95365759059018,1.046958655268888,1.1963536516440134,6,180
002371.SZ,333.97,426.45,27.691109979938304,56.864389016977555,18.597770481789723,40.46772139914618,0.8118843950141241,1.0511600492739783,7,180
300570.SZ,98.01,112.51,14.794408733802673,57.17783899602081,26.96527101590393,77.65319365334193,0.8665043616942413,0.6346285112566549,4,180
300124.SZ,63.03,66.06,4.807234650166589,41.05981278756147,25.700146215273868,32.443470746666556,0.7130495470029464,0.36294596212894925,6,180
688981.SH,88.17,91.78,4.094363162073266,58.93160939094929,34.50367515878113,47.92258605102409,0.690869056624462,0.3500206073690139,6,180
601012.SH,16.47,16.66,1.1536126290224729,38.433515482695825,26.92982456140351,39.05153522261888,1.1205845597840995,0.23362915259171874,6,180
000725.SZ,4.0,3.93,-1.749999999999996,14.999999999999991,14.565217391304339,23.877245347917096,0.710113237756268,0.013971433802847726,5,180
002747.SZ,19.86,19.49,-1.8630412890231671,32.88016112789528,26.146267525577876,32.97632651021783,0.5904788060405178,0.08285237949725868,6,180
002241.SZ,22.64,22.21,-1.89929328621908,74.86749116607776,43.89997474109624,43.35758844037067,0.632187197102323,0.15208332279228698,8,180
688599.SH,15.75,15.32,-2.7301587301587285,48.12698412698412,34.33347621088726,54.70285763118683,0.8079199654167383,0.19499815818224936,4,180
300661.SZ,70.17,68.16,-2.864471996579742,24.583155194527574,22.031571722717917,48.00013293405245,1.2621698221135613,0.14500404969671069,5,180
300024.SZ,16.74,14.2,-15.173237753882912,25.32855436081244,32.316491897044806,37.94691898529734,0.494208180317521,-0.42525596493052653,5,180
300474.SZ,71.46,55.05,-22.96389588581024,27.14805485586343,39.41228263262162,39.759275603874705,0.5867431952906729,-0.7254224256044303,4,180
688303.SH,26.5,20.26,-23.54716981132075,29.77358490566038,41.08752544344286,50.53385611825225,0.8931323254304426,-0.4979714887084969,5,180
002594.SZ,326.88,99.01,-69.7105971610377,4.845814977973578,71.11052754435107,83.92050118837366,1.6018745866609565,-1.2263850701142123,6,180
