date,equity,cash,positions
2025-11-05,1000000.0,1000000.0,0
2025-11-06,1000000.0,1000000.0,0
2025-11-07,1000000.0,1000000.0,0
2025-11-10,1000000.0,1000000.0,0
2025-11-11,1000000.0,1000000.0,0
2025-11-12,1000000.0,1000000.0,0
2025-11-13,1000000.0,1000000.0,0
2025-11-14,1000000.0,1000000.0,0
2025-11-17,1000000.0,1000000.0,0
2025-11-18,1000000.0,1000000.0,0
2025-11-19,1000000.0,1000000.0,0
2025-11-20,1000000.0,1000000.0,0
2025-11-21,1000000.0,1000000.0,0
2025-11-24,1000000.0,1000000.0,0
2025-11-25,1000000.0,1000000.0,0
2025-11-26,1000000.0,1000000.0,0
2025-11-27,1000000.0,1000000.0,0
2025-11-28,1000000.0,1000000.0,0
2025-12-01,1000000.0,1000000.0,0
2025-12-02,1000000.0,1000000.0,0
2025-12-03,1000000.0,1000000.0,0
2025-12-04,1000375.827486,855196.827486,1
2025-12-05,1000983.827486,855196.827486,1
2025-12-08,1002275.827486,855196.827486,1
2025-12-09,1001572.827486,855196.827486,1
2025-12-10,1001933.827486,855196.827486,1
2025-12-11,999501.827486,855196.827486,1
2025-12-12,1001534.827486,855196.827486,1
2025-12-15,997981.827486,855196.827486,1
2025-12-16,995264.827486,855196.827486,1
2025-12-17,994984.831554,994984.831554,0
2025-12-18,985161.4590530002,623742.4590530002,3
2025-12-19,984072.4841480003,458507.48414800025,5
2025-12-22,989653.5112020003,593291.5112020003,4
2025-12-23,987558.7968870003,508807.7968870003,5
2025-12-24,998130.7968870003,508807.7968870003,5
2025-12-25,999853.7968870003,508807.7968870003,5
2025-12-26,999989.7968870003,508807.7968870003,5
2025-12-29,997120.1012870003,612999.1012870003,4
2025-12-30,995736.4210980004,522629.63309800037,5
2025-12-31,989842.4210980004,522629.63309800037,5
2026-01-05,999810.4210980004,522629.63309800037,5
2026-01-06,1006888.4210980004,522629.63309800037,5
2026-01-07,1004134.4210980004,522629.63309800037,5
2026-01-08,1005174.8289380003,610294.0409380003,4
2026-01-09,1003136.4442710002,559525.6562710003,5
2026-01-12,1005121.4442710002,559525.6562710003,5
2026-01-13,992918.4442710002,559525.6562710003,5
2026-01-14,992230.3823840002,723310.5943840003,3
2026-01-15,1005305.9561580003,536711.9561580003,5
2026-01-16,1006667.9561580003,536711.9561580003,5
2026-01-19,996201.9561580003,536711.9561580003,5
2026-01-20,988105.0331560003,609564.0331560003,4
2026-01-21,994615.8318930003,617919.8318930003,4
2026-01-22,990253.0800600003,531915.0800600003,5
2026-01-23,999202.0181160003,581871.0181160003,4
2026-01-26,979499.6554760004,499065.65547600033,5
2026-01-27,982457.9279470004,713107.9279470004,3
2026-01-28,992427.3137320003,528524.3137320003,5
2026-01-29,977249.3137320003,528524.3137320003,5
2026-01-30,985144.6666440003,705082.6666440003,3
2026-02-02,966023.9892720003,603180.9892720003,4
2026-02-03,996157.4444460003,605997.4444460003,4
2026-02-04,994423.4444460003,605997.4444460003,4
2026-02-05,963580.5701860002,611429.5701860002,4
2026-02-06,955718.9828140002,631725.9828140002,4
2026-02-09,973335.1657970003,780411.1657970003,2
2026-02-10,968108.6716050003,669998.6716050003,3
2026-02-11,966839.6326760002,488707.6326760003,5
2026-02-12,1004797.6326760002,488707.6326760003,5
2026-02-13,986770.6326760002,488707.6326760003,5
2026-02-24,1003084.6326760002,488707.6326760003,5
2026-02-25,991421.9250660003,560952.9250660003,4
2026-02-26,1001686.6754660003,511253.67546600034,5
2026-02-27,997521.0263310004,591957.0263310004,4
2026-03-02,982516.1441070003,661249.1441070003,3
2026-03-03,980727.1086590003,585258.1086590003,4
2026-03-04,963934.2667120002,712706.2667120002,3
2026-03-05,963311.5651430003,692771.5651430003,3
2026-03-06,961881.9888950003,612362.9888950003,4
2026-03-09,957263.9888950003,612362.9888950003,4
2026-03-10,966511.9994730002,690437.9994730002,3
2026-03-11,984853.6218730003,512482.6218730003,5
2026-03-12,992668.6218730003,512482.6218730003,5
2026-03-13,975568.6218730003,512482.6218730003,5
2026-03-16,979496.6218730003,512482.6218730003,5
2026-03-17,972382.0352630003,705486.0352630003,3
2026-03-18,967947.7491690003,607195.7491690003,4
2026-03-19,966844.3029890003,520843.30298900034,5
2026-03-20,975182.8542630003,619918.8542630003,4
2026-03-23,969275.3930630003,558596.3930630003,5
2026-03-24,969168.2311900003,650539.2311900003,4
2026-03-25,976578.2344880004,649518.2344880004,4
2026-03-26,971930.9468900004,557736.9468900004,5
2026-03-27,976931.2968020004,731301.2968020004,3
2026-03-30,973463.0838170004,687991.0838170004,3
2026-03-31,945452.4540490004,594035.4540490004,4
2026-04-01,949961.2143040005,863750.2143040005,1
2026-04-02,946005.8737450006,640745.8737450006,3
2026-04-03,978255.2905850005,737392.2905850005,2
